#Train,#Test,M,P_area,Pin_count,P_type,RMSE train (Linear Regression),RMSE val (Linear Regression),RMSE test (Linear Regression),RMSE train (Group-Wise Linear),RMSE val (Group-Wise Linear),RMSE test (Group-Wise Linear),RMSE train (KNN),RMSE val (KNN),RMSE test (KNN),RMSE train (Decision Tree),RMSE val (Decision Tree),RMSE test (Decision Tree),RMSE train (SVR),RMSE val (SVR),RMSE test (SVR),RMSE train (MLP),RMSE val (MLP),RMSE test (MLP),Mean train,Mean val,Mean test
297,148,✓,,,,0.5 ± 0.014,0.5 ± 0.17,0.53,,,,0.12 ± 0.0067,0.52 ± 0.14,0.55,0.44 ± 0.011,0.49 ± 0.14,0.66,0.47 ± 0.015,0.49 ± 0.19,0.48,0.46 ± 0.013,0.48 ± 0.17,0.51,0.4,0.5,0.55
491,148,,✓,,,0.4 ± 0.021,0.37 ± 0.24,0.42,,,,0.17 ± 0.0055,0.42 ± 0.17,0.47,0.31 ± 0.016,0.39 ± 0.22,0.59,0.39 ± 0.02,0.37 ± 0.22,0.39,0.4 ± 0.021,0.36 ± 0.26,0.4,0.33,0.38,0.45
459,148,,,✓,,0.41 ± 0.011,0.4 ± 0.14,0.33,,,,0.35 ± 0.024,0.41 ± 0.14,0.57,0.32 ± 0.0088,0.39 ± 0.11,0.35,0.39 ± 0.01,0.39 ± 0.13,0.33,0.4 ± 0.013,0.4 ± 0.14,0.32,0.37,0.4,0.38
297,148,✓,,✓,,0.37 ± 0.012,0.36 ± 0.16,0.32,,,,0.045 ± 0.0043,0.36 ± 0.16,0.31,0.25 ± 0.0099,0.37 ± 0.13,0.46,0.35 ± 0.013,0.35 ± 0.15,0.32,0.35 ± 0.014,0.34 ± 0.16,0.34,0.27,0.36,0.35
297,148,✓,,,✓,0.4 ± 0.0092,0.4 ± 0.13,0.39,0.39 ± 0.0086,0.42 ± 0.14,0.41,0.055 ± 0.0053,0.43 ± 0.14,0.39,0.3 ± 0.012,0.43 ± 0.14,0.47,0.38 ± 0.011,0.48 ± 0.19,0.36,0.36 ± 0.01,0.43 ± 0.13,0.39,0.31,0.43,0.4
297,148,✓,✓,,,0.39 ± 0.019,0.37 ± 0.22,0.4,,,,0.034 ± 0.0038,0.39 ± 0.19,0.37,0.25 ± 0.012,0.42 ± 0.19,0.41,0.36 ± 0.018,0.37 ± 0.21,0.37,0.35 ± 0.019,0.39 ± 0.18,0.38,0.28,0.39,0.39
459,148,,✓,✓,,0.36 ± 0.017,0.35 ± 0.19,0.32,,,,0.1 ± 0.0045,0.35 ± 0.13,0.32,0.2 ± 0.0088,0.38 ± 0.13,0.44,0.32 ± 0.013,0.35 ± 0.16,0.29,0.34 ± 0.013,0.32 ± 0.16,0.31,0.26,0.35,0.34
491,148,,✓,,✓,0.33 ± 0.013,0.34 ± 0.15,0.27,0.31 ± 0.012,0.33 ± 0.14,0.3,0.15 ± 0.0037,0.37 ± 0.11,0.36,0.19 ± 0.0064,0.38 ± 0.11,0.42,0.31 ± 0.012,0.33 ± 0.13,0.3,0.31 ± 0.012,0.33 ± 0.14,0.28,0.27,0.35,0.32
459,148,,,✓,✓,0.41 ± 0.012,0.42 ± 0.15,0.33,0.39 ± 0.012,0.41 ± 0.15,0.34,0.28 ± 0.01,0.39 ± 0.13,0.43,0.29 ± 0.009,0.41 ± 0.12,0.36,0.38 ± 0.012,0.39 ± 0.15,0.34,0.39 ± 0.011,0.41 ± 0.15,0.32,0.36,0.41,0.35
297,148,✓,✓,,✓,0.32 ± 0.014,0.33 ± 0.16,0.27,0.31 ± 0.014,0.35 ± 0.18,0.29,0.033 ± 0.0041,0.39 ± 0.15,0.36,0.15 ± 0.0094,0.43 ± 0.16,0.44,0.29 ± 0.013,0.35 ± 0.14,0.3,0.29 ± 0.011,0.35 ± 0.16,0.29,0.23,0.37,0.33
297,148,✓,,✓,✓,0.36 ± 0.011,0.36 ± 0.15,0.32,0.34 ± 0.012,0.37 ± 0.15,0.36,0.033 ± 0.0037,0.37 ± 0.15,0.34,0.28 ± 0.008,0.36 ± 0.15,0.37,0.31 ± 0.012,0.36 ± 0.15,0.32,0.3 ± 0.0096,0.36 ± 0.16,0.3,0.27,0.36,0.34
297,148,✓,✓,✓,,0.36 ± 0.016,0.34 ± 0.19,0.31,,,,0.018 ± 0.0028,0.35 ± 0.18,0.31,0.24 ± 0.013,0.38 ± 0.18,0.4,0.34 ± 0.015,0.33 ± 0.17,0.3,0.33 ± 0.015,0.34 ± 0.2,0.33,0.26,0.35,0.33
459,148,,✓,✓,✓,0.32 ± 0.014,0.33 ± 0.15,0.26,0.31 ± 0.013,0.32 ± 0.14,0.29,0.094 ± 0.004,0.34 ± 0.11,0.3,0.23 ± 0.0085,0.37 ± 0.13,0.46,0.3 ± 0.012,0.32 ± 0.13,0.28,0.3 ± 0.014,0.33 ± 0.14,0.28,0.26,0.33,0.31
297,148,✓,✓,✓,✓,0.32 ± 0.014,0.33 ± 0.16,0.27,0.31 ± 0.015,0.34 ± 0.17,0.29,0.018 ± 0.0028,0.35 ± 0.14,0.33,0.27 ± 0.012,0.37 ± 0.18,0.42,0.29 ± 0.013,0.34 ± 0.15,0.3,0.29 ± 0.012,0.33 ± 0.17,0.29,0.25,0.34,0.32
Mean ↓,,,,,,0.38,0.37,0.34,0.34,0.36,0.33,0.11,0.39,0.39,0.27,0.4,0.45,0.35,0.37,0.33,0.35,0.37,0.34,0.3,0.38,0.36
